GAS_ZONES,gas_storage_type,gas_storage_predet_build_year,gas_storage_removed_cap
UT,salt cavern,2012,0
UT,salt cavern,2017,0
VA,aquifer,1999,0
VA,aquifer,2000,0
VA,aquifer,2001,0
VA,aquifer,2002,0
VA,aquifer,2007,0
VA,aquifer,2012,0
VA,aquifer,2017,0
VA,depleted field,1999,0
VA,depleted field,2000,0
VA,depleted field,2001,865360.787878792
VA,depleted field,2002,256484.66666667
VA,depleted field,2007,51472.9090909101
VA,depleted field,2012,0
VA,depleted field,2017,0
VA,salt cavern,1999,0
VA,salt cavern,2000,19736.747121851
VA,salt cavern,2001,5263.13256582699
VA,salt cavern,2002,0
VA,salt cavern,2007,9868.37356093014
VA,salt cavern,2012,0
VA,salt cavern,2017,487390
WA,aquifer,1999,0
WA,aquifer,2000,0
WA,aquifer,2001,0
WA,aquifer,2002,0
WA,aquifer,2007,4731797.8336887
WA,aquifer,2012,0
WA,aquifer,2017,0
WA,depleted field,1999,0
WA,depleted field,2000,0
WA,depleted field,2001,0
WA,depleted field,2002,0
WA,depleted field,2007,0
WA,depleted field,2012,0
WA,depleted field,2017,0
WV,aquifer,1999,0
WV,aquifer,2000,0
WV,aquifer,2001,0
WV,aquifer,2002,0
WV,aquifer,2007,0
WV,aquifer,2012,0
WV,aquifer,2017,0
WV,depleted field,1999,0
WV,depleted field,2000,16790.3059519529
WV,depleted field,2001,123372019.95268
WV,depleted field,2002,1856378.201814
WV,depleted field,2007,18509729.032253
WV,depleted field,2012,3151443
WV,depleted field,2017,251991
WV,salt cavern,1999,0
WV,salt cavern,2000,0
WV,salt cavern,2001,0
WV,salt cavern,2002,0
WV,salt cavern,2007,0
WV,salt cavern,2012,0
WV,salt cavern,2017,0
WY,aquifer,1999,0
WY,aquifer,2000,0
WY,aquifer,2001,0
WY,aquifer,2002,0
WY,aquifer,2007,432253.4601044
WY,aquifer,2012,0
WY,aquifer,2017,0
WY,depleted field,1999,0
WY,depleted field,2000,0
WY,depleted field,2001,0
WY,depleted field,2002,480552.243370004
WY,depleted field,2007,9513776.4093109
WY,depleted field,2012,0
WY,depleted field,2017,16709181
WY,salt cavern,1999,0
WY,salt cavern,2000,0
WY,salt cavern,2001,0
WY,salt cavern,2002,0
WY,salt cavern,2007,0
WY,salt cavern,2012,0
WY,salt cavern,2017,0
