gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_total_cap
IA,MN,1994,51850,1316990
IA,MN,1995,0,1316990
IA,MN,1996,111996,1428986
IA,MN,1997,250954,1679940
IA,MN,1998,0,1679940
IA,MN,1999,0,1679940
IA,MN,2000,0,1679940
IA,MN,2001,0,1679940
IA,SD,1990,80886,80886
IA,SD,1994,0,80886
IA,SD,1995,0,80886
IA,SD,1996,0,80886
IA,SD,1997,0,80886
IA,SD,1998,0,80886
IA,SD,1999,0,80886
IA,SD,2000,0,80886
IA,SD,2001,0,80886
ID,NV,1990,124440,124440
ID,NV,1994,39406,163846
ID,NV,1995,0,163846
ID,NV,1996,0,163846
ID,NV,1997,0,163846
ID,NV,1998,0,163846
ID,NV,1999,0,163846
ID,NV,2000,0,163846
ID,NV,2001,0,163846
ID,OR,1990,248880,248880
ID,OR,1994,14518,263398
ID,OR,1995,0,263398
ID,OR,1996,0,263398
ID,OR,1997,0,263398
ID,OR,1998,0,263398
ID,OR,1999,0,263398
ID,OR,2000,0,263398
ID,OR,2001,0,263398
ID,UT,1990,259250,259250
ID,UT,1994,49776,309026
ID,UT,1995,0,309026
ID,UT,1996,0,309026
ID,UT,1997,0,309026
ID,UT,1998,0,309026
ID,UT,1999,0,309026
ID,UT,2000,0,309026
ID,UT,2001,0,309026
ID,WA,1990,1515057,1515057
ID,WA,1994,849303,2364360
ID,WA,1995,0,2364360
ID,WA,1996,0,2364360
ID,WA,1997,0,2364360
ID,WA,1998,76738,2441098
ID,WA,1999,0,2441098
ID,WA,2000,0,2441098
ID,WA,2001,0,2441098
IL,IA,1990,77775,77775
IL,IA,1994,0,77775
IL,IA,1995,0,77775
IL,IA,1996,0,77775
IL,IA,1997,0,77775
IL,IA,1998,0,77775
IL,IA,1999,0,77775
IL,IA,2000,0,77775
IL,IA,2001,0,77775
IL,IN,1990,4490210,4490210
IL,IN,1994,246806,4737016
IL,IN,1995,0,4737016
IL,IN,1996,0,4737016
IL,IN,1997,138958,4875974
IL,IN,1998,0,4875974
IL,IN,1999,114070,4990044
IL,IN,2000,746640,5736684
IL,IN,2001,787083,6523767
IL,MO,1990,837896,837896
IL,MO,1994,64294,902190
IL,MO,1995,0,902190
IL,MO,1996,0,902190
IL,MO,1997,0,902190
IL,MO,1998,0,902190
IL,MO,1999,0,902190
IL,MO,2000,0,902190
IL,MO,2001,0,902190
IL,WI,1990,1657126,1657126
IL,WI,1994,0,1657126
IL,WI,1995,39406,1696532
IL,WI,1996,22814,1719346
IL,WI,1997,0,1719346
IL,WI,1998,0,1719346
IL,WI,1999,154513,1873859
IL,WI,2000,197030,2070889
IL,WI,2001,0,2070889
IN,IL,1990,2010743,2010743
IN,IL,1994,5185,2015928
IN,IL,1995,0,2015928
IN,IL,1996,0,2015928
IN,IL,1997,138958,2154886
IN,IL,1998,0,2154886
IN,IL,1999,0,2154886
IN,IL,2000,0,2154886
IN,IL,2001,0,2154886
IN,KY,1990,0,0
IN,KY,1994,0,0
IN,KY,1995,0,0
IN,KY,1996,0,0
IN,KY,1997,0,0
IN,KY,1998,0,0
IN,KY,1999,0,0
IN,KY,2000,0,0
IN,KY,2001,0,0
IN,MI,1990,2037705,2037705
IN,MI,1994,149328,2187033
IN,MI,1995,0,2187033
IN,MI,1996,0,2187033
IN,MI,1997,155550,2342583
IN,MI,1998,0,2342583
IN,MI,1999,0,2342583
IN,MI,2000,746640,3089223
IN,MI,2001,0,3089223
IN,OH,1990,4766052,4766052
IN,OH,1994,149328,4915380
IN,OH,1995,259250,5174630
IN,OH,1996,0,5174630
IN,OH,1997,0,5174630
IN,OH,1998,316285,5490915
IN,OH,1999,0,5490915
IN,OH,2000,0,5490915
IN,OH,2001,0,5490915
KS,CO,1990,399245,399245
KS,CO,1994,0,399245
KS,CO,1995,0,399245
KS,CO,1996,0,399245
KS,CO,1997,0,399245
KS,CO,1998,0,399245
KS,CO,1999,0,399245
KS,CO,2000,0,399245
KS,CO,2001,0,399245
KS,MO,1990,2704496,2704496
KS,MO,1994,0,2676497
KS,MO,1995,0,2676497
KS,MO,1996,0,2676497
KS,MO,1997,286212,2962709
KS,MO,1998,0,2962709
KS,MO,1999,0,2962709
KS,MO,2000,0,2962709
KS,MO,2001,148291,3111000
KS,NE,1990,4728720,4728720
KS,NE,1994,0,4286958
