GAS_ZONES,TIMESERIES,LNG_import_ref_quantity
MT,20020122,0
MI,20020122,0
ME,20020122,0
ND,20020122,0
GA,20020122,252370.0532232
MA,20020122,446224.111025875
VT,20020122,0
NH,20020122,0
LA,20020122,429585.013145445
ID,20020122,0
NY,20020122,0
MT,20020123,0
MD,20020123,348188.697833825
AZ,20020123,0
MN,20020123,0
ME,20020123,0
GA,20020123,252370.0532232
VT,20020123,0
CA,20020123,0
NH,20020123,0
ID,20020123,0
WA,20020123,0
MS,20020123,0
NY,20020123,0
MI,20020123,0
MA,20020123,446224.111025875
LA,20020123,429585.013145445
ND,20020123,0
FL,20020123,0
TX,20020123,0
NY,20020124,0
WA,20020124,0
VT,20020124,0
MA,20020124,446224.111025875
MD,20020124,348188.697833825
MT,20020124,0
ME,20020124,0
ID,20020124,0
MN,20020124,0
LA,20020124,429585.013145445
MS,20020124,0
FL,20020124,0
GA,20020124,252370.0532232
TX,20020124,0
NH,20020124,0
AZ,20020124,0
CA,20020124,0
ND,20020124,0
MI,20020124,0
GA,20020125,252370.0532232
FL,20020125,0
MD,20020125,348188.697833825
NY,20020125,0
MT,20020125,0
NH,20020125,0
AZ,20020125,0
LA,20020125,429585.013145445
WA,20020125,0
ID,20020125,0
MN,20020125,0
TX,20020125,0
MA,20020125,446224.111025875
ME,20020125,0
CA,20020125,0
MI,20020125,0
MS,20020125,0
VT,20020125,0
ND,20020125,0
VT,20020126,0
MA,20020126,446224.111025875
LA,20020126,429585.013145445
GA,20020126,252370.0532232
NH,20020126,0
MS,20020126,0
WA,20020126,0
TX,20020126,0
MN,20020126,0
AZ,20020126,0
FL,20020126,0
MD,20020126,348188.697833825
CA,20020126,0
MT,20020126,0
MI,20020126,0
NY,20020126,0
ME,20020126,0
ID,20020126,0
ND,20020126,0
TX,20020127,0
VT,20020127,0
ME,20020127,0
MI,20020127,0
FL,20020127,0
ID,20020127,0
MS,20020127,0
MN,20020127,0
MD,20020127,348188.697833825
WA,20020127,0
GA,20020127,252370.0532232
NH,20020127,0
MA,20020127,446224.111025875
ND,20020127,0
CA,20020127,0
MT,20020127,0
LA,20020127,429585.013145445
NY,20020127,0
AZ,20020127,0
CA,20020128,0
TX,20020128,0
MN,20020128,0
ND,20020128,0
WA,20020128,0
AZ,20020128,0
VT,20020128,0
MA,20020128,446224.111025875
ID,20020128,0
NH,20020128,0
NY,20020128,0
ME,20020128,0
FL,20020128,0
MT,20020128,0
MD,20020128,348188.697833825
GA,20020128,252370.0532232
MI,20020128,0
LA,20020128,429585.013145445
MS,20020128,0
NY,20020129,0
MA,20020129,446224.111025875
VT,20020129,0
TX,20020129,0
NH,20020129,0
GA,20020129,252370.0532232
ND,20020129,0
MT,20020129,0
MS,20020129,0
MN,20020129,0
ID,20020129,0
WA,20020129,0
AZ,20020129,0
ME,20020129,0
CA,20020129,0
FL,20020129,0
LA,20020129,429585.013145445
MD,20020129,348188.697833825
MI,20020129,0
MI,20020103,0
MS,20020103,0
ND,20020103,0
ID,20020103,0
FL,20020103,0
GA,20020103,252370.0532232
WA,20020103,0
MD,20020103,348188.697833825
AZ,20020103,0
LA,20020103,429585.013145445
NH,20020103,0
MT,20020103,0
NY,20020103,0
MN,20020103,0
MA,20020103,446224.111025875
CA,20020103,0
TX,20020103,0
VT,20020103,0
ME,20020103,0
ID,20020130,0
MI,20020130,0
VT,20020130,0
TX,20020130,0
MN,20020130,0
FL,20020130,0
NY,20020130,0
MS,20020130,0
NH,20020130,0
MA,20020130,446224.111025875
GA,20020130,252370.0532232
CA,20020130,0
MT,20020130,0
MD,20020130,348188.697833825
AZ,20020130,0
ME,20020130,0
ND,20020130,0
WA,20020130,0
LA,20020130,429585.013145445
VT,20020131,0
MS,20020131,0
NH,20020131,0
ND,20020131,0
AZ,20020131,0
ME,20020131,0
ID,20020131,0
MA,20020131,446224.111025875
FL,20020131,0
WA,20020131,0
LA,20020131,429585.013145445
GA,20020131,252370.0532232
NY,20020131,0
MI,20020131,0
MN,20020131,0
MT,20020131,0
MD,20020131,348188.697833825
TX,20020131,0
CA,20020131,0
GA,20020104,252370.0532232
MI,20020104,0
MN,20020104,0
MD,20020104,348188.697833825
VT,20020104,0
WA,20020104,0
FL,20020104,0
MS,20020104,0
MA,20020104,446224.111025875
NY,20020104,0
AZ,20020104,0
LA,20020104,429585.013145445
TX,20020104,0
CA,20020104,0
MT,20020104,0
ND,20020104,0
NH,20020104,0
ID,20020104,0
ME,20020104,0
MD,20020105,348188.697833825
MN,20020105,0
AZ,20020105,0
MS,20020105,0
NH,20020105,0
NY,20020105,0
MT,20020105,0
WA,20020105,0
VT,20020105,0
MA,20020105,446224.111025875
GA,20020105,252370.0532232
ME,20020105,0
FL,20020105,0
TX,20020105,0
CA,20020105,0
LA,20020105,429585.013145445
ID,20020105,0
ND,20020105,0
MI,20020105,0
LA,20020106,429585.013145445
ID,20020106,0
ND,20020106,0
ME,20020106,0
NY,20020106,0
GA,20020106,252370.0532232
VT,20020106,0
MS,20020106,0
NH,20020106,0
CA,20020106,0
MI,20020106,0
WA,20020106,0
FL,20020106,0
TX,20020106,0
AZ,20020106,0
MD,20020106,348188.697833825
MA,20020106,446224.111025875
MT,20020106,0
MN,20020106,0
MN,20020107,0
AZ,20020107,0
VT,20020107,0
MT,20020107,0
NY,20020107,0
WA,20020107,0
NH,20020107,0
ME,20020107,0
MS,20020107,0
CA,20020107,0
GA,20020107,252370.0532232
ND,20020107,0
MD,20020107,348188.697833825
TX,20020107,0
ID,20020107,0
LA,20020107,429585.013145445
MI,20020107,0
FL,20020107,0
MA,20020107,446224.111025875
AZ,20020108,0
NH,20020108,0
GA,20020108,252370.0532232
MD,20020108,348188.697833825
VT,20020108,0
MI,20020108,0
MN,20020108,0
NY,20020108,0
ND,20020108,0
MS,20020108,0
WA,20020108,0
LA,20020108,429585.013145445
FL,20020108,0
MA,20020108,446224.111025875
MT,20020108,0
TX,20020108,0
CA,20020108,0
ID,20020108,0
ME,20020108,0
WA,20020109,0
FL,20020109,0
CA,20020109,0
NY,20020109,0
MT,20020109,0
LA,20020109,429585.013145445
MI,20020109,0
ND,20020109,0
MN,20020109,0
GA,20020109,252370.0532232
ID,20020109,0
MD,20020109,348188.697833825
AZ,20020109,0
MS,20020109,0
TX,20020109,0
ME,20020109,0
VT,20020109,0
NH,20020109,0
MA,20020109,446224.111025875
TX,20021001,0
MA,20021001,459704.432697738
GA,20021001,259994.091041266
CA,20021001,0
NH,20021001,0
FL,20021001,0
WA,20021001,0
MD,20021001,358707.393559425
ID,20021001,0
AZ,20021001,0
LA,20021001,442562.671724447
VT,20021001,0
ME,20021001,0
NY,20021001,0
ND,20021001,0
MS,20021001,0
MN,20021001,0
MT,20021001,0
MI,20021001,0
TX,20021010,0
FL,20021010,0
NH,20021010,0
MS,20021010,0
ME,20021010,0
NY,20021010,0
VT,20021010,0
MA,20021010,459704.432697738
GA,20021010,259994.091041266
AZ,20021010,0
MI,20021010,0
ID,20021010,0
MT,20021010,0
WA,20021010,0
MD,20021010,358707.393559425
CA,20021010,0
MN,20021010,0
LA,20021010,442562.671724447
ND,20021010,0
MT,20021011,0
MI,20021011,0
VT,20021011,0
CA,20021011,0
LA,20021011,442562.671724447
FL,20021011,0
WA,20021011,0
MD,20021011,358707.393559425
ID,20021011,0
MA,20021011,459704.432697738
NH,20021011,0
MN,20021011,0
AZ,20021011,0
NY,20021011,0
TX,20021011,0
GA,20021011,259994.091041266
MS,20021011,0
ND,20021011,0
ME,20021011,0
FL,20021012,0
TX,20021012,0
CA,20021012,0
NH,20021012,0
NY,20021012,0
WA,20021012,0
MA,20021012,459704.432697738
GA,20021012,259994.091041266
MD,20021012,358707.393559425
ME,20021012,0
VT,20021012,0
AZ,20021012,0
MN,20021012,0
LA,20021012,442562.671724447
ND,20021012,0
MI,20021012,0
ID,20021012,0
MS,20021012,0
MT,20021012,0
ND,20021013,0
GA,20021013,259994.091041266
MD,20021013,358707.393559425
MN,20021013,0
WA,20021013,0
ME,20021013,0
ID,20021013,0
CA,20021013,0
MT,20021013,0
NY,20021013,0
MS,20021013,0
MA,20021013,459704.432697738
AZ,20021013,0
FL,20021013,0
TX,20021013,0
NH,20021013,0
VT,20021013,0
MI,20021013,0
LA,20021013,442562.671724447
MN,20021014,0
LA,20021014,442562.671724447
MT,20021014,0
MD,20021014,358707.393559425
MI,20021014,0
CA,20021014,0
VT,20021014,0
ME,20021014,0
AZ,20021014,0
ND,20021014,0
MA,20021014,459704.432697738
FL,20021014,0
MS,20021014,0
GA,20021014,259994.091041266
TX,20021014,0
NH,20021014,0
WA,20021014,0
ID,20021014,0
NY,20021014,0
MI,20021015,0
MD,20021015,358707.393559425
TX,20021015,0
NY,20021015,0
AZ,20021015,0
NH,20021015,0
MA,20021015,459704.432697738
WA,20021015,0
MN,20021015,0
FL,20021015,0
ID,20021015,0
ME,20021015,0
MT,20021015,0
VT,20021015,0
MS,20021015,0
ND,20021015,0
GA,20021015,259994.091041266
LA,20021015,442562.671724447
CA,20021015,0
ND,20021016,0
MD,20021016,358707.393559425
NY,20021016,0
GA,20021016,259994.091041266
MA,20021016,459704.432697738
MS,20021016,0
MI,20021016,0
VT,20021016,0
AZ,20021016,0
MN,20021016,0
MT,20021016,0
WA,20021016,0
LA,20021016,442562.671724447
FL,20021016,0
NH,20021016,0
TX,20021016,0
ME,20021016,0
ID,20021016,0
CA,20021016,0
ND,20021017,0
MN,20021017,0
VT,20021017,0
MT,20021017,0
MS,20021017,0
TX,20021017,0
LA,20021017,442562.671724447
GA,20021017,259994.091041266
ME,20021017,0
MI,20021017,0
AZ,20021017,0
FL,20021017,0
CA,20021017,0
ID,20021017,0
WA,20021017,0
NH,20021017,0
MD,20021017,358707.393559425
NY,20021017,0
MA,20021017,459704.432697738
ND,20021018,0
MI,20021018,0
GA,20021018,259994.091041266
MT,20021018,0
NH,20021018,0
MD,20021018,358707.393559425
TX,20021018,0
VT,20021018,0
AZ,20021018,0
MN,20021018,0
NY,20021018,0
MS,20021018,0
MA,20021018,459704.432697738
ID,20021018,0
LA,20021018,442562.671724447
WA,20021018,0
ME,20021018,0
FL,20021018,0
CA,20021018,0
CA,20021019,0
NH,20021019,0
ID,20021019,0
GA,20021019,259994.091041266
MS,20021019,0
MN,20021019,0
ND,20021019,0
MT,20021019,0
MA,20021019,459704.432697738
TX,20021019,0
WA,20021019,0
AZ,20021019,0
MI,20021019,0
ME,20021019,0
VT,20021019,0
FL,20021019,0
NY,20021019,0
MD,20021019,358707.393559425
LA,20021019,442562.671724447
ID,20021002,0
FL,20021002,0
GA,20021002,259994.091041266
MT,20021002,0
MA,20021002,459704.432697738
MN,20021002,0
NY,20021002,0
ND,20021002,0
CA,20021002,0
VT,20021002,0
MS,20021002,0
NH,20021002,0
MI,20021002,0
LA,20021002,442562.671724447
TX,20021002,0
ME,20021002,0
AZ,20021002,0
MD,20021002,358707.393559425
WA,20021002,0
NH,20021020,0
VT,20021020,0
ME,20021020,0
