LNG_ROUTE,LNG_route_gz1,LNG_route_gz2,LNG_route_distance,LNG_flow_allowed
AZ_WY,AZ,WY,1121.34392212094,1
CA_CO,CA,CO,1328.33171557111,1
CA_CT,CA,CT,4058.23440138291,1
CA_DC,CA,DC,3742.35886511947,0
CA_DE,CA,DE,3860.472098592,1
CA_FL,CA,FL,3651.44235743191,1
CA_GA,CA,GA,3249.28787298966,1
CA_IA,CA,IA,2387.67797396866,1
CA_ID,CA,ID,1037.33056548433,1
CA_IL,CA,IL,2765.34222271884,1
CA_IN,CA,IN,2941.28208345262,1
CA_KS,CA,KS,2060.02814410441,0
CA_KY,CA,KY,3042.66665024256,0
CA_LA,CA,LA,2641.69458749327,1
CA_MA,CA,MA,4173.29368365952,1
CA_MD,CA,MD,3757.5298894263,1
CA_ME,CA,ME,4285.08615531749,1
CA_MI,CA,MI,3119.76271152409,0
CA_MN,CA,MN,2428.19985420844,1
CA_MO,CA,MO,2430.790458023,1
CA_MS,CA,MS,2756.70633908339,1
CA_MT,CA,MT,1428.47284819068,1
CA_NC,CA,NC,3573.97381664499,1
CA_ND,CA,ND,2122.97202649242,1
CA_NE,CA,NE,2021.83236010548,1
CA_NH,CA,NH,4156.04199805982,1
CA_NJ,CA,NJ,3941.02063884766,1
CA_NM,CA,NM,1188.6161260018,1
CA_NV,CA,NV,332.724464606484,1
CA_NY,CA,NY,3911.34644019472,1
CA_OH,CA,OH,3237.11141211344,0
CA_OK,CA,OK,2037.37757480551,1
CA_OR,CA,OR,1068.30198326656,1
CA_PA,CA,PA,3723.0487438122,1
CA_RI,CA,RI,4172.41147877805,1
CA_SC,CA,SC,3490.07421123504,1
CA_SD,CA,SD,1978.46806994383,1
CA_TN,CA,TN,2973.27444737648,1
CA_TX,CA,TX,2106.75090467165,1
CA_UT,CA,UT,853.791893860978,0
CA_VA,CA,VA,3691.2865666241,1
CA_VT,CA,VT,4040.48856663396,0
CA_WA,CA,WA,1334.1497038146,1
CA_WI,CA,WI,2742.09946943176,1
CA_WV,CA,WV,3424.0773676478,0
CA_WY,CA,WY,1334.34468981443,1
CO_CT,CO,CT,2729.91019563401,1
CO_DC,CO,DC,2422.43217030481,0
CO_DE,CO,DE,2537.42624896485,1
CO_FL,CO,FL,2529.23564759065,1
CO_GA,CO,GA,2021.45854590593,1
CO_IA,CO,IA,1060.34760761554,1
CO_ID,CO,ID,979.462637442058,1
CO_IL,CO,IL,1437.47556674504,1
CO_IN,CO,IN,1618.18487241934,1
CO_KS,CO,KS,765.663342122371,0
CO_KY,CO,KY,1741.42364795091,0
CO_LA,CO,LA,1581.49668393603,1
CO_MA,CO,MA,2845.45221903017,1
CO_MD,CO,MD,2436.22029189193,1
CO_ME,CO,ME,2963.0917337564,1
CO_MI,CO,MI,1792.83802977669,0
CO_MN,CO,MN,1145.44001531661,1
CO_MO,CO,MO,1130.95659801817,1
CO_MS,CO,MS,1600.30981057354,1
CO_MT,CO,MT,948.809753123611,1
CO_NC,CO,NC,2290.09251308032,1
CO_ND,CO,ND,992.733440186908,1
CO_NE,CO,NE,693.96997380505,1
CO_NH,CO,NH,2829.85762111608,1
CO_NJ,CO,NJ,2614.08867824289,1
CO_NM,CO,NM,552.965319934976,1
CO_NV,CO,NV,1000.74364236124,1
CO_NY,CO,NY,2583.05607743682,1
CO_OH,CO,OH,1911.85642875841,0
CO_OK,CO,OK,857.160507944731,1
CO_OR,CO,OR,1544.36396331783,1
CO_PA,CO,PA,2396.6176934733,1
CO_RI,CO,RI,2844.13876703526,1
CO_SC,CO,SC,2234.14107047725,1
CO_SD,CO,SD,717.77969604871,1
CO_TN,CO,TN,1708.24541731934,1
CO_TX,CO,TX,1192.99566956991,1
CO_UT,CO,UT,581.551474482572,0
CO_VA,CO,VA,2379.64687444831,1
CO_VT,CO,VT,2717.26833510025,0
CO_WA,CO,WA,1582.09050814439,1
CO_WI,CO,WI,1422.51580673993,1
CO_WV,CO,WV,2107.73097638561,0
CO_WY,CO,WY,385.867400666491,1
CT_DC,CT,DC,455.009819657269,0
CT_DE,CT,DE,329.414973659443,1
CT_FL,CT,FL,1719.17590140087,1
CT_GA,CT,GA,1326.77065342355,1
CT_IA,CT,IA,1672.81011922163,1
CT_ID,CT,ID,3429.5343841321,1
CT_IL,CT,IL,1293.97449973489,1
CT_IN,CT,IN,1136.63183428942,1
CT_KS,CT,KS,2033.50045424681,0
CT_KY,CT,KY,1135.24286987781,0
CT_LA,CT,LA,2054.46651651445,1
CT_MA,CT,MA,151.708825822931,1
CT_MD,CT,MD,424.274454146021,1
CT_ME,CT,ME,403.31913200251,1
CT_MI,CT,MI,947.342105966589,0
CT_MN,CT,MN,1721.11471817193,1
CT_MO,CT,MO,1680.89380411198,1
CT_MS,CT,MS,1780.36940823121,1
CT_MT,CT,MT,3094.81690330091,1
CT_NC,CT,NC,887.638423264454,1
CT_ND,CT,ND,2189.38650886632,1
CT_NE,CT,NE,2037.05050814956,1
CT_NH,CT,NH,217.79832488277,1
CT_NJ,CT,NJ,176.852069052889,1
CT_NM,CT,NM,3012.60197674411,1
CT_NV,CT,NV,3729.8349947592,1
CT_NY,CT,NY,147.546065170219,1
CT_OH,CT,OH,839.150910750737,0
CT_OK,CT,OK,2179.06526415837,1
CT_OR,CT,OR,3992.47939228157,1
CT_PA,CT,PA,367.063965795611,1
CT_RI,CT,RI,121.43811962659,1
CT_SC,CT,SC,1097.04189841579,1
CT_SD,CT,SD,2145.65074503325,1
CT_TN,CT,TN,1330.21444441043,1
CT_TX,CT,TX,2484.38925004225,1
CT_UT,CT,UT,3257.78176887729,0
CT_VA,CT,VA,589.58828982468,1
CT_VT,CT,VT,289.386351746304,0
CT_WA,CT,WA,3865.7404060466,1
CT_WI,CT,WI,1344.73762990107,1
CT_WV,CT,WV,732.955306849899,0
CT_WY,CT,WY,2805.24722547675,1
DC_DE,DC,DE,135.384177158275,0
DC_FL,DC,FL,1306.83328923377,0
DC_GA,DC,GA,871.996406132268,0
DC_IA,DC,IA,1397.02750149105,0
DC_ID,DC,ID,3205.34876027086,0
DC_IL,DC,IL,1002.56326208892,0
DC_IN,DC,IN,805.134620185032,0
DC_KS,DC,KS,1686.80009636173,0
DC_KY,DC,KY,728.078697674217,0
DC_LA,DC,LA,1605.30022555476,0
DC_MA,DC,MA,606.590967378076,0
DC_MD,DC,MD,31.655766891085,0
DC_ME,DC,ME,852.145974763735,0
DC_MI,DC,MI,748.775179808304,0
DC_MN,DC,MN,1533.74819920759,0
DC_MO,DC,MO,1319.59738202965,0
DC_MS,DC,MS,1333.56074518783,0
DC_MT,DC,MT,2906.87326943253,0
DC_NC,DC,NC,442.056642753554,0
DC_ND,DC,ND,2031.06580030079,0
DC_NE,DC,NE,1744.4691231759,0
DC_NH,DC,NH,663.40266116564,0
DC_NJ,DC,NJ,278.756620434993,0
