GAS_ZONES,LNG_vaporization_predet_build_year,LNG_vaporization_predet_cap,LNG_vaporization_removed_cap,LNG_vaporization_total_cap
IN,1993,0,0,758400
IN,1994,0,0,758400
IN,1995,0,0,758400
IN,1996,0,0,758400
IN,1997,0,0,758400
IN,1998,0,0,758400
IN,1999,0,0,758400
IN,2000,0,0,758400
IN,2001,0,0,758400
KS,1965,0,0,0
KS,1966,0,0,0
KS,1967,0,0,0
KS,1968,0,0,0
KS,1969,0,0,0
KS,1970,0,0,0
KS,1971,0,0,0
KS,1972,0,0,0
KS,1973,0,0,0
KS,1974,0,0,0
KS,1975,0,0,0
KS,1976,0,0,0
KS,1977,0,0,0
KS,1978,0,0,0
KS,1979,0,0,0
KS,1980,0,0,0
KS,1981,0,0,0
KS,1982,0,0,0
KS,1983,0,0,0
KS,1984,0,0,0
KS,1985,0,0,0
KS,1986,0,0,0
KS,1987,0,0,0
KS,1988,0,0,0
KS,1989,0,0,0
KS,1990,0,0,0
KS,1991,0,0,0
KS,1992,0,0,0
KS,1993,0,0,0
KS,1994,0,0,0
KS,1995,0,0,0
KS,1996,0,0,0
KS,1997,0,0,0
KS,1998,0,0,0
KS,1999,0,0,0
KS,2000,0,0,0
KS,2001,0,0,0
KY,1965,0,0,0
KY,1966,0,0,0
KY,1967,0,0,0
KY,1968,0,0,0
KY,1969,0,0,0
KY,1970,0,0,0
KY,1971,0,0,0
KY,1972,0,0,0
KY,1973,0,0,0
KY,1974,0,0,0
KY,1975,0,0,0
KY,1976,0,0,0
KY,1977,0,0,0
KY,1978,0,0,0
KY,1979,0,0,0
KY,1980,0,0,0
KY,1981,0,0,0
KY,1982,0,0,0
KY,1983,0,0,0
KY,1984,0,0,0
KY,1985,0,0,0
KY,1986,0,0,0
KY,1987,0,0,0
KY,1988,0,0,0
KY,1989,0,0,0
KY,1990,0,0,0
KY,1991,0,0,0
KY,1992,0,0,0
KY,1993,0,0,0
KY,1994,0,0,0
KY,1995,0,0,0
KY,1996,0,0,0
KY,1997,0,0,0
KY,1998,0,0,0
KY,1999,0,0,0
KY,2000,0,0,0
KY,2001,0,0,0
LA,1965,0,0,0
LA,1966,0,0,0
LA,1967,0,0,0
LA,1968,0,0,0
LA,1969,0,0,0
LA,1970,0,0,0
LA,1971,0,0,0
LA,1972,0,0,0
LA,1973,0,0,0
LA,1974,0,0,0
LA,1975,0,0,0
LA,1976,0,0,0
LA,1977,0,0,0
LA,1978,0,0,0
LA,1979,0,0,0
LA,1980,0,0,0
LA,1981,0,0,0
LA,1982,2016000,0,2016000
LA,1983,0,0,2016000
LA,1984,0,0,2016000
LA,1985,0,0,2016000
LA,1986,0,0,2016000
LA,1987,0,0,2016000
LA,1988,0,0,2016000
LA,1989,0,0,2016000
LA,1990,0,0,2016000
LA,1991,0,0,2016000
LA,1992,0,0,2016000
LA,1993,0,0,2016000
LA,1994,0,0,2016000
LA,1995,0,0,2016000
LA,1996,0,0,2016000
LA,1997,0,0,2016000
LA,1998,0,0,2016000
LA,1999,0,0,2016000
LA,2000,0,0,2016000
LA,2001,0,0,2016000
MA,1965,384000,0,384000
MA,1966,0,0,384000
MA,1967,0,0,384000
MA,1968,0,0,384000
MA,1969,288000,0,672000
MA,1970,2092800,0,2764800
MA,1971,17966400,0,20731200
MA,1972,245760,0,20976960
MA,1973,0,0,20976960
MA,1974,48000,0,21024960
MA,1975,38400,0,21063360
MA,1976,0,0,21063360
MA,1977,0,0,21063360
MA,1978,0,0,21063360
MA,1979,0,0,21063360
MA,1980,0,0,21063360
MA,1981,0,0,21063360
MA,1982,0,0,21063360
MA,1983,0,0,21063360
MA,1984,0,0,21063360
MA,1985,0,0,21063360
MA,1986,0,0,21063360
MA,1987,0,0,21063360
MA,1988,0,0,21063360
MA,1989,0,0,21063360
MA,1990,0,0,21063360
MA,1991,0,0,21063360
MA,1992,0,0,21063360
MA,1993,0,0,21063360
MA,1994,0,0,21063360
MA,1995,0,0,21063360
MA,1996,0,0,21063360
MA,1997,0,0,21063360
MA,1998,0,0,21063360
MA,1999,0,0,21063360
MA,2000,2880,0,21066240
MA,2001,0,0,21066240
MD,1965,0,0,0
MD,1966,0,0,0
MD,1967,0,0,0
MD,1968,0,0,0
MD,1969,0,0,0
MD,1970,0,0,0
MD,1971,299520,0,299520
MD,1972,0,0,299520
MD,1973,0,0,299520
MD,1974,0,0,299520
MD,1975,0,0,299520
MD,1976,0,0,299520
MD,1977,0,0,299520
MD,1978,1728000,0,2027520
MD,1979,0,0,2027520
MD,1980,0,0,2027520
MD,1981,0,0,2027520
MD,1982,0,0,2027520
MD,1983,0,0,2027520
MD,1984,0,0,2027520
MD,1985,0,0,2027520
MD,1986,0,0,2027520
MD,1987,0,0,2027520
MD,1988,0,0,2027520
MD,1989,0,0,2027520
MD,1990,0,0,2027520
MD,1991,0,0,2027520
MD,1992,0,0,2027520
MD,1993,0,0,2027520
MD,1994,0,0,2027520
MD,1995,0,0,2027520
MD,1996,0,0,2027520
MD,1997,0,0,2027520
MD,1998,0,0,2027520
MD,1999,0,0,2027520
MD,2000,5760,0,2033280
MD,2001,0,0,2033280
ME,1965,0,0,0
ME,1966,0,0,0
ME,1967,0,0,0
ME,1968,0,0,0
ME,1969,0,0,0
ME,1970,0,0,0
ME,1971,32640,0,32640
ME,1972,0,0,32640
ME,1973,0,0,32640
ME,1974,0,0,32640
ME,1975,0,0,32640
ME,1976,0,0,32640
ME,1977,0,0,32640
ME,1978,0,0,32640
ME,1979,0,0,32640
ME,1980,0,0,32640
ME,1981,0,0,32640
ME,1982,0,0,32640
ME,1983,0,0,32640
ME,1984,0,0,32640
ME,1985,0,0,32640
ME,1986,0,0,32640
ME,1987,0,0,32640
ME,1988,0,0,32640
ME,1989,0,0,32640
ME,1990,0,0,32640
ME,1991,0,0,32640
ME,1992,0,0,32640
ME,1993,0,0,32640
ME,1994,0,0,32640
ME,1995,0,0,32640
ME,1996,0,0,32640
ME,1997,0,0,32640
ME,1998,0,0,32640
ME,1999,0,0,32640
ME,2000,0,0,32640
ME,2001,0,0,32640
MI,1965,0,0,0
MI,1966,0,0,0
MI,1967,0,0,0
MI,1968,0,0,0
MI,1969,0,0,0
MI,1970,0,0,0
MI,1971,0,0,0
MI,1972,0,0,0
MI,1973,0,0,0
MI,1974,0,0,0
MI,1975,0,0,0
MI,1976,0,0,0
MI,1977,0,0,0
MI,1978,0,0,0
MI,1979,0,0,0
MI,1980,0,0,0
MI,1981,0,0,0
MI,1982,0,0,0
MI,1983,0,0,0
MI,1984,0,0,0
MI,1985,0,0,0
MI,1986,0,0,0
MI,1987,0,0,0
MI,1988,0,0,0
MI,1989,0,0,0
MI,1990,0,0,0
MI,1991,0,0,0
MI,1992,0,0,0
MI,1993,0,0,0
MI,1994,0,0,0
MI,1995,0,0,0
MI,1996,0,0,0
MI,1997,0,0,0
MI,1998,0,0,0
MI,1999,0,0,0
MI,2000,0,0,0
MI,2001,0,0,0
MN,1965,0,0,0
MN,1966,0,0,0
MN,1967,0,0,0
MN,1968,0,0,0
MN,1969,0,0,0
MN,1970,0,0,0
MN,1971,0,0,0
MN,1972,0,0,0
MN,1973,0,0,0
MN,1974,0,0,0
MN,1975,69648000,0,69648000
MN,1976,0,0,69648000
MN,1977,0,0,69648000
MN,1978,0,0,69648000
MN,1979,691200,0,70339200
MN,1980,0,0,70339200
MN,1981,0,0,70339200
MN,1982,0,0,70339200
MN,1983,0,0,70339200
MN,1984,0,0,70339200
MN,1985,0,0,70339200
MN,1986,0,0,70339200
MN,1987,0,0,70339200
MN,1988,0,0,70339200
MN,1989,0,0,70339200
MN,1990,0,0,70339200
MN,1991,0,0,70339200
MN,1992,0,0,70339200
MN,1993,0,0,70339200
MN,1994,0,0,70339200
MN,1995,0,0,70339200
MN,1996,0,0,70339200
MN,1997,0,0,70339200
MN,1998,0,0,70339200
MN,1999,0,0,70339200
MN,2000,0,0,70339200
MN,2001,0,0,70339200
MO,1965,0,0,0
MO,1966,0,0,0
MO,1967,0,0,0
MO,1968,0,0,0
MO,1969,0,0,0
MO,1970,0,0,0
MO,1971,0,0,0
MO,1972,0,0,0
MO,1973,0,0,0
MO,1974,0,0,0
MO,1975,0,0,0
MO,1976,0,0,0
MO,1977,0,0,0
MO,1978,0,0,0
MO,1979,0,0,0
MO,1980,0,0,0
MO,1981,0,0,0
MO,1982,0,0,0
MO,1983,0,0,0
MO,1984,0,0,0
MO,1985,0,0,0
MO,1986,0,0,0
MO,1987,0,0,0
MO,1988,0,0,0
MO,1989,0,0,0
MO,1990,0,0,0
MO,1991,0,0,0
MO,1992,0,0,0
MO,1993,0,0,0
MO,1994,0,0,0
MO,1995,0,0,0
MO,1996,0,0,0
MO,1997,0,0,0
MO,1998,0,0,0
MO,1999,0,0,0
MO,2000,0,0,0
MO,2001,0,0,0
MS,1965,0,0,0
MS,1966,0,0,0
MS,1967,0,0,0
MS,1968,0,0,0
MS,1969,0,0,0
MS,1970,0,0,0
MS,1971,0,0,0
MS,1972,0,0,0
MS,1973,0,0,0
MS,1974,0,0,0
MS,1975,0,0,0
MS,1976,0,0,0
MS,1977,0,0,0
MS,1978,0,0,0
MS,1979,0,0,0
MS,1980,0,0,0
MS,1981,0,0,0
MS,1982,0,0,0
MS,1983,0,0,0
MS,1984,0,0,0
MS,1985,0,0,0
MS,1986,0,0,0
MS,1987,0,0,0
MS,1988,0,0,0
MS,1989,0,0,0
MS,1990,0,0,0
MS,1991,0,0,0
MS,1992,0,0,0
MS,1993,0,0,0
MS,1994,0,0,0
MS,1995,0,0,0
MS,1996,0,0,0
MS,1997,0,0,0
MS,1998,0,0,0
MS,1999,0,0,0
MS,2000,0,0,0
MS,2001,0,0,0
MT,1965,0,0,0
MT,1966,0,0,0
MT,1967,0,0,0
MT,1968,0,0,0
MT,1969,0,0,0
MT,1970,0,0,0
MT,1971,0,0,0
MT,1972,0,0,0
MT,1973,0,0,0
MT,1974,0,0,0
MT,1975,0,0,0
MT,1976,0,0,0
MT,1977,0,0,0
MT,1978,0,0,0
MT,1979,0,0,0
MT,1980,0,0,0
MT,1981,0,0,0
MT,1982,0,0,0
MT,1983,0,0,0
MT,1984,0,0,0
MT,1985,0,0,0
MT,1986,0,0,0
MT,1987,0,0,0
MT,1988,0,0,0
MT,1989,0,0,0
MT,1990,0,0,0
MT,1991,0,0,0
MT,1992,0,0,0
MT,1993,0,0,0
MT,1994,0,0,0
MT,1995,1920,0,1920
MT,1996,0,0,1920
MT,1997,0,0,1920
MT,1998,0,0,1920
MT,1999,0,0,1920
MT,2000,0,0,1920
MT,2001,0,0,1920
NC,1965,0,0,0
NC,1966,0,0,0
NC,1967,0,0,0
NC,1968,0,0,0
NC,1969,0,0,0
NC,1970,0,0,0
NC,1971,0,0,0
NC,1972,0,0,0
NC,1973,192000,0,192000
NC,1974,0,0,192000
NC,1975,0,0,192000
NC,1976,105600,0,297600
NC,1977,0,0,297600
NC,1978,0,0,297600
NC,1979,0,0,297600
NC,1980,0,0,297600
NC,1981,0,0,297600
NC,1982,0,0,297600
NC,1983,0,0,297600
NC,1984,0,0,297600
NC,1985,0,0,297600
NC,1986,144000,0,441600
NC,1987,0,0,441600
NC,1988,0,0,441600
NC,1989,0,0,441600
NC,1990,0,0,441600
NC,1991,0,0,441600
NC,1992,0,0,441600
NC,1993,0,0,441600
NC,1994,0,0,441600
NC,1995,0,0,441600
NC,1996,0,0,441600
NC,1997,23040,0,464640
NC,1998,0,0,464640
NC,1999,384000,0,848640
NC,2000,0,0,848640
NC,2001,0,0,848640
ND,1965,0,0,0
ND,1966,0,0,0
ND,1967,0,0,0
ND,1968,0,0,0
ND,1969,0,0,0
ND,1970,0,0,0
ND,1971,0,0,0
ND,1972,0,0,0
ND,1973,0,0,0
ND,1974,0,0,0
ND,1975,0,0,0
ND,1976,0,0,0
ND,1977,0,0,0
ND,1978,0,0,0
ND,1979,0,0,0
ND,1980,0,0,0
ND,1981,0,0,0
ND,1982,0,0,0
ND,1983,0,0,0
ND,1984,0,0,0
ND,1985,0,0,0
ND,1986,0,0,0
ND,1987,0,0,0
ND,1988,0,0,0
ND,1989,0,0,0
ND,1990,0,0,0
ND,1991,0,0,0
ND,1992,0,0,0
ND,1993,0,0,0
ND,1994,0,0,0
ND,1995,0,0,0
ND,1996,0,0,0
ND,1997,0,0,0
ND,1998,0,0,0
ND,1999,0,0,0
ND,2000,0,0,0
ND,2001,0,0,0
NE,1965,57600,0,57600
NE,1966,0,0,57600
NE,1967,0,0,57600
NE,1968,0,0,57600
NE,1969,0,0,57600
NE,1970,0,0,57600
NE,1971,0,0,57600
NE,1972,0,0,57600
NE,1973,0,0,57600
NE,1974,0,0,57600
NE,1975,0,0,57600
NE,1976,0,0,57600
NE,1977,0,0,57600
NE,1978,0,0,57600
NE,1979,0,0,57600
NE,1980,0,0,57600
NE,1981,0,0,57600
NE,1982,0,0,57600
NE,1983,0,0,57600
NE,1984,0,0,57600
NE,1985,0,0,57600
NE,1986,0,0,57600
NE,1987,0,0,57600
NE,1988,0,0,57600
NE,1989,0,0,57600
NE,1990,0,0,57600
NE,1991,0,0,57600
NE,1992,0,0,57600
NE,1993,0,0,57600
NE,1994,0,0,57600
NE,1995,0,0,57600
NE,1996,0,0,57600
NE,1997,0,0,57600
NE,1998,0,0,57600
NE,1999,0,0,57600
